ABM 103,Introduction to Agribusiness Management  
ABM 171,Organization of Small Business  
ABM 180,Agribusiness Research Methodologies  
ABM 190,Special Problems in Agribusiness  
ABM 203,Advanced Agribusiness  
ABM 205,Agribusiness Management  
ABM 241,Agricultural Production Management  
ABM 298,Field Studies  
ABM A,Agribusiness Commodity Systems  
ABM B,Enterprise Formation and Project Management  
ABM C,Management Systems for Farm Enterprises  
ABM D,Management Systems for Processing Plants and Service Entities  
ABM E,Research Methods in Agribusiness  
ACHM 190,Special Problems  
ACHM 200,Undergraduate Thesis  
ACHM 203,Advanced Agricultural Chemistry  
ACHM 231,Advances in Carbohydrate Chemistry  
ACHM 235,Research in Sugar By-Products  
ACHM 238,Cereal Chemistry  
ACHM 250,Chemistry of the Coconut  
ACHM 290,Special Problems  
ACHM 291,Special Topics  
ACHM 299,Graduate Seminar in Agricultural Chemistry  
ACHM 300,Master’s Thesis  
ACHM 400,Doctoral Dissertation  
AEC 1,Agricultural Extension Communication  
AECO 10,Introduction to Agricultural Economics  
AECO 103,Statistical Analysis of Agricultural Economic Data  
AECO 104,Principles of Farm Business Accounting  
AECO 110,Agricultural Production Economics  
AECO 111,Farm Management  
AECO 112,Farm Management Practice  
AECO 120,Agricultural Marketing I  
AECO 121,Agricultural Marketing II  
AECO 122,Agricultural Price Analysis  
AECO 123,Agricultural and International Trade  
AECO 130,Agricultural Finance  
AECO 136,Cooperatives  
AECO 140,Land Economics  
AECO 141,Introduction to Feasibility Studies in Agriculture  
AECO 150,Economics of Agricultural Development  
AECO 151,Agricultural Policy  
AECO 160,Introduction to Research Methods in Agricultural Economics  
AECO 190,Special Problems  
AECO 199,Undergraduate Seminar  
AECO 200,Undergraduate Thesis  
AECO 200a,Major Farm Practice  
AECO 210,Advanced Agricultural Production Economics  
AECO 211,Advanced Farm Management  
AECO 220,Economics of Agricultural Marketing  
AECO 222,Agricultural Prices  
AECO 230,Advanced Agricultural Finance  
AECO 240,Natural Resource Economics  
AECO 241,Economic Analysis and Planning of Agricultural Projects  
AECO 248,Economic Analyses and Design of Natural Resource and Environmental Policies  
AECO 250,Agriculture and Economic Development  
AECO 251,Agricultural Programs for Economic Development  
AECO 252,Agricultural Administration  
AECO 253,Applied Regional Economics  
AECO 260,Research in Agricultural Economics  
AECO 261,Food and Nutrition Economics  
AECO 290,Special Problems  
AECO 291,Special Topics  
AECO 298,Field Studies  
AECO 299,Graduate Seminar in Agricultural Economics  
AECO 300,Master’s Thesis  
AECO 320,Organization and Performance of Agricultural Markets  
AECO 400,Doctoral Dissertation  
AECO B,Market Development and Institutional Support Systems  
AECO C,Production Economics and Farm Development  
AENG 1,Fundamentals of Agricultural Engineering I  
AENG 111,Advanced Mathematical Methods in Agricultural Engineering  
AENG 12,Benchwork and Forging  
AENG 13,Machine Tools, Welding and Foundry  
AENG 130,Materials Handling  
AENG 131,Crop Processing II  
AENG 132,Crop Processing Plant Design and Management  
AENG 133,Rheology of Biological Materials  
AENG 134,Fuels and Combustion  
AENG 135,Intermediate Thermodynamics  
AENG 136,Intermediate Refrigeration Engineering  
AENG 140,Field Hydrology  
AENG 141,Irrigation Engineering I  
AENG 142,Irrigation Engineering II  
AENG 143,Fundamentals of Drainage Engineering  
AENG 144,Open Channel Hydraulics  
AENG 145,Water Control Structures  
AENG 146,Soil and Water Conservation Engineering  
AENG 147,Principles of Tropical Water Quality Management  
AENG 148,Operations Research for Engineers  
AENG 149,Water Resources Planning  
AENG 150,Plant Climate  
AENG 151,Agricultural Structure II  
AENG 152,Agricultural Waste Management  
AENG 153,Farmstead Planning  
AENG 155,Agricultural Structures III  
AENG 160,Machine Design II  
AENG 161,Tractor-Implement Performance Analysis  
AENG 162,Agricultural Mechanization  
AENG 163,Manufacturing Processes  
AENG 165,Soil-Machine Mechanics  
AENG 180,Soil Engineering  
AENG 181,Aquaculture Engineering I  
AENG 182,Aquaculture Engineering II  
AENG 190,Special Problems  
AENG 191,Special Topics  
AENG 199,Undergraduate Seminar  
AENG 2,Fundamentals of Agricultural Engineering II  
AENG 200,Undergraduate Thesis  
AENG 200a,Practicum  
AENG 201,Advanced Engineering Mathematics  
AENG 202,Engineering Similitude  
AENG 203,Heat, Mass and Momentum Transport  
AENG 204,Advanced Thermodynamics  
AENG 205,Numerical Methods in Thermo-Fluid Engineering  
AENG 225,Advanced Heat Transfer  
AENG 226,Convective Heat Transfer  
AENG 232,Drying, Storage, and Preservation of Cereal and Forage Crops  
AENG 233,Agricultural Process Engineering  
AENG 235,Agricultural Process System Analysis and Design  
AENG 236,Physical Properties of Agricultural Materials  
AENG 237,Process Control in Agricultural Process Engineering  
AENG 238,Drying and Dehydration of Agricultural Crops  
AENG 240,Advanced Water Resources Planning  
AENG 241,Research Methods in Land and Water Resources Engineering  
AENG 242,Water Management  
AENG 243,Soil and Water Conservation  
AENG 244,Groundwater Hydrology  
AENG 245,Drainage Engineering  
AENG 247,Water Quality Control Engineering  
AENG 248,Erosion and Sediment Transport  
AENG 249,Statistical Hydrology  
AENG 260,Experimental Stress Analysis  
AENG 261,Agricultural Machinery Design  
AENG 262,Advanced Soil Mechanics of Tillage and Traction  
AENG 263,Crop Establishment Engineering  
AENG 264,Pesticide Application Equipment  
AENG 265,Design of Harvesting and Threshing Machinery  
AENG 266,Advanced Agricultural Energy and Power Engineering  
AENG 290,Special Problems  
AENG 291,Special Topics  
AENG 296,Special Problems in Agricultural Engineering  
AENG 299,Graduate Seminar in Agricultural Engineering  
AENG 30,Refrigeration and Air Conditioning  
AENG 300,Master’s Thesis  
AENG 31,Crop Processing I  
AENG 40,Fundamentals of Surveying  
AENG 400,Doctoral Dissertation  
AENG 41,Irrigation and Drainage Engineering  
AENG 42,Soil and Water Conservation Engineering  
AENG 50,Hydrometeorology  
AENG 51,Agricultural Structures I  
AENG 52,Environmental Control Engineering  
AENG 60,Machine Design I  
AENG 61,Agricultural Energy and Power Engineering  
AENG 62,Agricultural Machinery  
AENG 70,Farm Electrification Design  
AERS 118,Student Personnel Work  
AERS 141,Community Survey and Program Planning  
AERS 142,Concepts and Processes in Agricultural and Natural Resources Knowledge Systems  
AERS 144,Group Dynamics  
AERS 154,Community Organization  
AERS 160,Rural Sociology  
AERS 190,Special Problems  
AERS 191,Special Topics  
AERS 199,Undergraduate Seminar  
AERS 200a,Major Practice  
AERS 261,Social and Cultural Change  
AERS 262,Urban Sociology  
AERS 265,Sociology of Development  
AERS 267,Perspectives in Community Analysis  
AERS 281,Theory Construction  
AERS 282,Social Research Design  
