BSCS-2011-SP-PR,BSCS,CAS
#,,
1,1,
MATH 17,,
#,,
1,2,
CMSC 2,,
CMSC 11,MATH 17,
CMSC 56,MATH 17,
MATH 26,,
#,,
2,1,
CMSC 21,CMSC 11,
CMSC 57,CMSC 56,
MATH 27,MATH 26,
STAT 1,MATH 17,
#,,
2,2,
CMSC 22,CMSC 11,
CMSC 123,CMSC 57,CMSC 11
CMSC 130,CMSC 11,CMSC 57
MATH 28,MATH 27,
#,,
3,1,
CMSC 100,CMSC 2,CMSC 22
CMSC 124,CMSC 123,
CMSC 127,CMSC 123,
CMSC 131,CMSC 21,
#,,
3,2,
CMSC 125,CMSC 123,
CMSC 128,CMSC 123,
CMSC 170,CMSC 123,
CMSC 132,CMSC 131,
#,,
3,3,
CMSC 198,,
#,,
4,1,
CMSC 137,CMSC 125,
CMSC 141,CMSC 123,
CMSC 150,CMSC 123,MATH 26
CMSC 199,,
CMSC 190-1,,
#,,
4,2,
CMSC 142,CMSC 123,
CMSC 190-2,,
