stdno,allowedunits,currentunitsenlisted
2006-39996,0,0
2014-99064,0,0
2014-40584,18,18
2009-34344,15,6
2014-98816,20,17
2011-48770,18,18
2013-22567,18,18
1993-91022,0,0
2013-15433,18,18
2012-10596,19,19
2013-25678,18,18
2014-62940,17,16
2014-72710,18,18
2010-04452,20,12
2013-60783,18,18
2014-00786,18,15
2014-02777,21,21
2014-20523,17,15
2014-09798,20,20
2012-37905,21,15
1996-93910,0,0
2012-59795,18,18
2014-99163,18,18
2012-97790,21,20
2010-57258,15,13
2010-96988,0,0
2012-10831,21,18
2010-04454,19,0
2014-27146,18,18
2012-10766,19,19
2014-62409,17,15
2007-36118,18,0
2014-98831,16,16
2011-10184,18,12
2008-23531,21,3
2014-02874,18,18
2009-00288,17,15
2013-21636,20,20
2014-50840,18,18
2013-98641,0,0
2011-36848,20,6
2013-03069,18,12
2013-68489,19,19
2010-34119,15,15
2014-05405,20,19
2009-60322,19,0
2014-72641,18,18
2014-20627,20,19
2011-21577,17,0
2000-30363,0,0
2014-71975,18,18
2011-62107,21,15
2012-53638,19,18
2014-99154,0,0
2013-05607,21,21
2009-49067,20,14
2012-18167,18,13
2012-29033,18,18
2014-73299,20,20
2013-18357,18,0
2012-23684,21,20
2013-46427,12,10
2011-08755,20,18
2005-72101,0,0
2011-64375,21,15
2006-61557,0,0
2011-97500,21,16
2013-60256,18,18
1993-37309,0,0
2013-11932,18,15
2012-37619,18,15
2014-98933,0,0
2014-99090,0,0
2011-09213,16,0
2013-35100,20,18
2014-28936,19,19
2012-19324,18,18
2012-45007,15,15
2012-19384,21,19
2011-15727,17,12
2012-13729,21,6
2013-52110,21,18
2006-35536,0,0
2014-14178,17,15
2014-73909,18,18
2012-60883,18,18
2012-18954,19,12
2013-98196,15,3
2013-10829,21,19
2012-97791,15,0
2010-16788,18,16
2012-36162,18,0
2012-29801,18,15
2010-04046,19,0
2011-58073,18,15
2013-34338,20,20
2012-97979,18,13
2014-08792,18,18
2009-16851,18,9
2008-96282,0,0
2010-65432,16,15
2011-46651,16,6
2010-31032,19,5
2010-07583,21,0
2004-38393,0,0
2013-98197,18,18
2013-65271,18,18
2011-04579,21,12
2011-27915,20,16
2013-74846,21,18
2012-61096,19,18
2011-57570,18,18
2013-31240,18,18
2011-12388,20,20
2012-65512,20,20
2011-12015,19,3
2009-41307,19,6
2012-32215,21,12
2009-11607,19,17
2014-98829,15,15
2007-59220,0,0
2012-97880,0,0
2014-09230,18,18
2006-55284,0,0
2013-70843,21,21
2011-50557,19,0
2012-64062,18,18
2010-81335,21,18
2011-48317,18,6
2013-68203,19,0
2014-98988,0,0
1998-41609,0,0
2012-76359,19,19
2008-38388,18,0
2011-37148,16,15
2011-47257,17,6
2012-27768,18,18
2006-71441,16,3
2012-22547,18,13
2014-71417,18,16
2014-19362,18,18
2003-54444,0,0
2012-67728,18,18
2012-28065,20,15
2011-97708,0,0
2014-33125,17,17
2005-46350,21,19
2013-29181,18,18
1999-62477,0,0
2011-35788,19,10
2013-43528,18,18
2014-56915,18,18
2013-48668,20,20
2010-41634,19,2
2009-55600,17,0
2003-48261,0,0
2014-56124,18,16
2009-29824,18,0
