stdno,schoolyear,term,course,section,units,grade,courserank,contrib
2014-09798,2015,FIRST,NSTP 1,AS3,0,,1,1.0000,
2014-09798,2015,FIRST,BIO 150,W-1L,3,,2,1.0000,
2014-09798,2015,FIRST,CHEM 15.0,X,3,,3,1.0000,
2014-09798,2015,FIRST,CHEM 15.1,25L,2,,4,1.0000,
2014-09798,2015,FIRST,HFDS 11,Y,3,,5,1.0000,
2014-09798,2015,FIRST,SPCM 1(AH),W-1R,3,,6,1.0000,
2014-09798,2015,FIRST,NASC 6(MST),B,3,,7,1.0000,
2014-09798,2015,FIRST,HUME 101,G,3,,8,1.0000,
2009-00288,2015,FIRST,CMSC 137,CD-3L,3,,2,1.0000,
2009-00288,2015,FIRST,ENG 10,T-2R,3,,3,1.0000,
2009-00288,2015,FIRST,MATH 28,T-3R,3,,4,1.0000,
2009-00288,2015,FIRST,CMSC 142,C-3L,3,,5,1.0000,
2009-00288,2015,FIRST,SPAN I,V,3,,7,1.0000,
2013-68489,2015,FIRST,NSTP 1,EN2,0,,1,1.0000,
2013-68489,2015,FIRST,CHEM 40.0,X,3,,2,1.0000,
2013-68489,2015,FIRST,CHEM 40.1,6L,1,,3,1.0000,
2013-68489,2015,FIRST,BIO 70,Z,3,,4,1.0000,
2013-68489,2015,FIRST,MCB 1,U-9L,3,,5,1.0000,
2013-68489,2015,FIRST,PSY 1(SSP),C-6R,3,,6,1.0000,
2013-68489,2015,FIRST,SOSC 3(SSP),F-6R,3,,7,1.0000,
2013-68489,2015,FIRST,BIO 150,W-3L,3,,8,1.0000,
2012-53638,2015,FIRST,ChE 153,W,3,,2,1.0000,
2012-53638,2015,FIRST,ChE 154,C,3,,3,1.0000,
2012-53638,2015,FIRST,ChE 155,2L,2,,4,1.0000,
2012-53638,2015,FIRST,ENSC 10b,3L,2,,5,1.0000,
2012-53638,2015,FIRST,MCB 1,S-1L,3,,6,1.0000,
2012-53638,2015,FIRST,CHEM 112,Z,3,,7,1.0000,
2012-53638,2015,FIRST,CHEM 111.1,5L,2,,8,1.0000,
2014-73299,2015,FIRST,PE 1,ST2,0,,1,1.0000,
2014-73299,2015,FIRST,NSTP 1,HE-EF1,0,,2,1.0000,
2014-73299,2015,FIRST,HUM 2(AH),B-6R,3,,3,1.0000,
2014-73299,2015,FIRST,IT 1(MST),G-2L,3,,4,1.0000,
2014-73299,2015,FIRST,MATH 17,A-5R,5,,5,1.0000,
2014-73299,2015,FIRST,SOSC 3(SSP),F-4R,3,,6,1.0000,
2014-73299,2015,FIRST,SPCM 1(AH),W-3R,3,,8,1.0000,
2014-73299,2015,FIRST,CRSC 2,U-5L,3,,0,0.0000,
2013-11932,2015,FIRST,MATH 174,B-3L,3,,2,1.0000,
2013-11932,2015,FIRST,MATH 181,V,3,,3,1.0000,
2013-11932,2015,FIRST,SPCM 1(AH),Y-4R,3,,5,1.0000,
2013-11932,2015,FIRST,CMSC 11,U-3L,3,,0,0.0000,
2013-11932,2015,FIRST,CMSC 22,WX-2L,3,,0,0.0000,
2012-37619,2015,FIRST,ENG 2(AH),F-4R,3,,1,1.0000,
2012-37619,2015,FIRST,NASC 6(MST),B,3,,2,1.0000,
2012-37619,2015,FIRST,ECON 101,T-2R,3,,4,1.0000,
2012-37619,2015,FIRST,NASC 2(MST),G,3,,5,1.0000,
2012-37619,2015,FIRST,ECON 102,W,3,,6,1.0000,
2012-19324,2015,FIRST,STAT 135,W-3R,3,,2,1.0000,
2012-19324,2015,FIRST,STAT 144,CD-2R,3,,3,1.0000,
2012-19324,2015,FIRST,SPCM 1(AH),G-1R,3,,4,1.0000,
2012-19324,2015,FIRST,CMSC 22,WX-3L,3,,5,1.0000,
2012-19324,2015,FIRST,ECON 11,U-3R,3,,6,1.0000,
2012-19324,2015,FIRST,ENG 10,B-4R,3,,7,1.0000,
2013-10829,2015,FIRST,PHYS 81,ABST-5L,5,,1,1.0000,
2013-10829,2015,FIRST,MATH 38,T-4R,3,,3,1.0000,
2013-10829,2015,FIRST,NASC 5(MST),Z-2R,3,,4,1.0000,
2013-10829,2015,FIRST,ENSC 10b,7L,2,,5,1.0000,
2013-10829,2015,FIRST,IE 143,E,3,,6,1.0000,
2013-10829,2015,FIRST,IE 164,C,3,,0,0.0000,
2012-29801,2015,FIRST,HIST 2(SSP),T-5R,3,,1,1.0000,
2012-29801,2015,FIRST,HUM 3(AH),W,3,,2,1.0000,
2012-29801,2015,FIRST,STS 1,Y2,3,,3,1.0000,
2012-29801,2015,FIRST,JAP 10,U,3,,4,1.0000,
2012-29801,2015,FIRST,MGT 131,F,3,,5,1.0000,
2014-08792,2015,FIRST,NSTP 1,HE-EF1,0,,1,1.0000,
2014-08792,2015,FIRST,ANSC 2,B-8L,3,,3,1.0000,
2014-08792,2015,FIRST,CRSC 2,S-4L,3,,4,1.0000,
2014-08792,2015,FIRST,CRPT 1,T-4L,3,,5,1.0000,
2014-08792,2015,FIRST,SPCM 1(AH),Y-2R,3,,6,1.0000,
2014-08792,2015,FIRST,NASC 6(MST),D,3,,7,1.0000,
2014-08792,2015,FIRST,STAT 1,S-10L,3,,8,1.0000,
2009-16851,2015,FIRST,ENG 2(AH),U-2R,3,,1,1.0000,
2009-16851,2015,FIRST,NASC 5(MST),W-3R,3,,2,1.0000,
2009-16851,2015,FIRST,NASC 6(MST),C,3,,3,1.0000,
2011-57570,2015,FIRST,PE 1,YZ1,0,,1,1.0000,
2011-57570,2015,FIRST,AECO 103,UV-1L,3,,2,1.0000,
2011-57570,2015,FIRST,HUM 1(AH),X,3,,3,1.0000,
2011-57570,2015,FIRST,AECO 141,U-1L,3,,4,1.0000,
2011-57570,2015,FIRST,CHEM 15.0,T,3,,5,1.0000,
2011-57570,2015,FIRST,ENG 2(AH),G-1R,3,,6,1.0000,
2011-57570,2015,FIRST,CRSC 2,S-4L,3,,7,1.0000,
2011-12388,2015,FIRST,NSTP 1,VM,0,,1,1.0000,
2011-12388,2015,FIRST,MATH 37,C-4R,5,,2,1.0000,
2011-12388,2015,FIRST,MATH 101,Y-7L,3,,3,1.0000,
2011-12388,2015,FIRST,SPCM 1(AH),B-4R,3,,4,1.0000,
2011-12388,2015,FIRST,ENG 2(AH),G-3R,3,,5,1.0000,
2011-12388,2015,FIRST,IT 1(MST),V-3L,3,,6,1.0000,
2011-12388,2015,FIRST,HUM 3(AH),W,3,,7,1.0000,
2009-11607,2015,FIRST,ENG 10,C-4R,3,,2,1.0000,
2009-11607,2015,FIRST,CHEM 15.0,G,3,,3,1.0000,
2009-11607,2015,FIRST,CHEM 15.1,9L,2,,4,1.0000,
2009-11607,2015,FIRST,CMSC 21,ST-5L,3,,5,1.0000,
2009-11607,2015,FIRST,BIO 30,A-9L,3,,6,1.0000,
2009-11607,2015,FIRST,NASC 3(MST),EF-2R,3,,7,1.0000,
2014-09230,2015,FIRST,NSTP 1,FR-EF,0,,1,1.0000,
2014-09230,2015,FIRST,CHEM 15.0,G,3,,3,1.0000,
2014-09230,2015,FIRST,CHEM 15.1,30L+,2,,4,1.0000,
2014-09230,2015,FIRST,SPCM 1(AH),B-3R,3,,5,1.0000,
2014-09230,2015,FIRST,MATH 36,H-3R,5,,6,1.0000,
2014-09230,2015,FIRST,CMSC 11,T-5L,3,,7,1.0000,
2014-09230,2015,FIRST,ENSC 10a,3L,2,,8,1.0000,
2012-64062,2015,FIRST,CMSC 124,T-3L,3,,1,1.0000,
2012-64062,2015,FIRST,SPCM 1(AH),G-4R,3,,2,1.0000,
2012-64062,2015,FIRST,CMSC 165,U-2L,3,,3,1.0000,
2012-64062,2015,FIRST,HUM 3(AH),F,3,,4,1.0000,
2012-64062,2015,FIRST,ENG 10,B-4R,3,,5,1.0000,
2012-64062,2015,FIRST,CMSC 137,CD-2L,3,,6,1.0000,
2010-81335,2015,FIRST,MATH 14,S-1R,3,,2,1.0000,
2010-81335,2015,FIRST,CHEM 15.0,G,3,,3,1.0000,
2010-81335,2015,FIRST,BIO 150,F-3L,3,,4,1.0000,
2010-81335,2015,FIRST,HFDS 11,X,3,,5,1.0000,
2010-81335,2015,FIRST,CERP 140,U,3,,6,1.0000,
2010-81335,2015,FIRST,SDS 11,A-2L,3,,0,0.0000,
2012-28065,2015,FIRST,NSTP 1,AS3,0,,1,1.0000,
2012-28065,2015,FIRST,ENSC 10b,8L,2,,2,1.0000,
2012-28065,2015,FIRST,EE 12,V-1L,4,,3,1.0000,
2012-28065,2015,FIRST,EE 18,Y,3,,4,1.0000,
2012-28065,2015,FIRST,ENG 10,B-2R,3,,5,1.0000,
2012-28065,2015,FIRST,EE 130,ST-2L,3,,6,1.0000,
2010-41634,2015,FIRST,CHEM 112.1,2L,2,,1,1.0000,
2012-37390,2015,FIRST,HUM 3(AH),F,3,,2,1.0000,
2012-37390,2015,FIRST,ECON 11,W-4R,3,,3,1.0000,
2013-40220,2015,FIRST,NSTP 1,AS2,0,,1,1.0000,
2013-40220,2015,FIRST,ENSC 11,Y,3,,2,1.0000,
2013-40220,2015,FIRST,PHYS 82,DV-5L,5,,3,1.0000,
2013-40220,2015,FIRST,ENSC 21,C,3,,4,1.0000,
2011-62105,2015,FIRST,ABE 180,Y,3,,1,1.0000,
2011-62105,2015,FIRST,CE 132,C-2C,3,,2,1.0000,
2011-62105,2015,FIRST,CE 133,AB-2C,3,,3,1.0000,
2011-62105,2015,FIRST,CE 151,V,3,,4,1.0000,
2011-62105,2015,FIRST,CE 141,S-2C,3,,5,1.0000,
2012-37531,2015,FIRST,ECON 101,T-5R,3,,4,1.0000,
2012-37531,2015,FIRST,ECON 102,C,3,,5,1.0000,
2012-37531,2015,FIRST,PHLO 1(SSP),D-5R,3,,6,1.0000,
2012-37531,2015,FIRST,NASC 5(MST),Z-1R,3,,0,0.0000,
2012-37531,2015,FIRST,JAP 10,T2,3,,0,0.0000,
2010-48989,2015,FIRST,ABM 180,C,3,,2,1.0000,
2010-48989,2015,FIRST,MGT 141,E,3,,3,1.0000,
2010-48989,2015,FIRST,CHEM 15.0,H,3,,4,1.0000,
2010-48989,2015,FIRST,ECON 102,G1,3,,5,1.0000,
2010-48989,2015,FIRST,PI 10(SSP),B-6R,3,,6,1.0000,
2010-48989,2015,FIRST,JAP 10,U,3,,0,0.0000,
2013-07713,2015,FIRST,NSTP 1,AS1,0,,1,1.0000,
2013-07713,2015,FIRST,AECO 103,UV-2L,3,,2,1.0000,
2013-07713,2015,FIRST,NASC 6(MST),B,3,,3,1.0000,
2013-07713,2015,FIRST,HUM 3(AH),F,3,,4,1.0000,
2013-07713,2015,FIRST,AECO 141,C-2L,3,,5,1.0000,
2013-07713,2015,FIRST,ENG 2(AH),Y-2R,3,,6,1.0000,
2013-07713,2015,FIRST,ECON 102,G2,3,,7,1.0000,
2013-36478,2015,FIRST,NSTP 1,EN2,0,,1,1.0000,
2013-36478,2015,FIRST,STS 1,Y2,3,,2,1.0000,
2013-36478,2015,FIRST,STAT 1,D-3L,3,,3,1.0000,
2013-36478,2015,FIRST,HUM 3(AH),F,3,,4,1.0000,
2013-36478,2015,FIRST,DEVC 101,H,3,,5,1.0000,
2013-36478,2015,FIRST,HUM 2(AH),V-6R,3,,6,1.0000,
2013-36478,2015,FIRST,ENTR 1(SSP),ST-5R,3,,7,1.0000,
2014-09090,2015,FIRST,NSTP 1,EM2,0,,1,1.0000,
2014-09090,2015,FIRST,ENSC 10a,4L,2,,3,1.0000,
2014-09090,2015,FIRST,MATH 36,H-4R,5,,4,1.0000,
2014-09090,2015,FIRST,STAT 1,A-5L,3,,5,1.0000,
2014-09090,2015,FIRST,SPCM 1(AH),Y-2R,3,,6,1.0000,
2014-09090,2015,FIRST,HUM 1(AH),X,3,,7,1.0000,
2012-45268,2015,FIRST,VETA 103,G-4L,3,,1,1.0000,
2012-45268,2015,FIRST,VETA 101,GH-3L,5,,2,1.0000,
2012-45268,2015,FIRST,CHEM 160,D,3,,4,1.0000,
2012-45268,2015,FIRST,ZOTC 115,ST-3L,3,,5,1.0000,
2012-45268,2015,FIRST,VMCB 121,E-3L,4,,6,1.0000,
2013-55770,2015,FIRST,CERP 131,W,3,,2,1.0000,
2013-55770,2015,FIRST,PI 10(SSP),Z1-5R,3,,3,1.0000,
2013-55770,2015,FIRST,MATH 14,B-3R,3,,4,1.0000,
2013-55770,2015,FIRST,PHYS 1,F-2L,3,,5,1.0000,
2013-55770,2015,FIRST,ECON 11,W-3R,3,,6,1.0000,
2013-55770,2015,FIRST,STAT 1,Z-4L,3,,7,1.0000,
2013-55770,2015,FIRST,SOC 140,Y,3,,8,1.0000,
2014-12811,2015,FIRST,NSTP 1,EM1,0,,1,1.0000,
2014-12811,2015,FIRST,CMSC 21,ST-2L,3,,2,1.0000,
2014-12811,2015,FIRST,CMSC 57,V-1L,3,,3,1.0000,
2014-12811,2015,FIRST,STAT 1,D-8L,3,,4,1.0000,
2014-12811,2015,FIRST,NASC 3(MST),UV-5R,3,,5,1.0000,
2014-12811,2015,FIRST,MATH 26,S-2R,3,,6,1.0000,
2014-12811,2015,FIRST,CMSC 22,WX-7L,3,,7,1.0000,
2012-97886,2015,FIRST,HIST 2(SSP),T-5R,3,,2,1.0000,
2012-97886,2015,FIRST,MCB 1,S-5L,3,,3,1.0000,
2012-97886,2015,FIRST,HUM 1(AH),V,3,,4,1.0000,
2012-97886,2015,FIRST,DEVC 101,Y,3,,5,1.0000,
2012-97886,2015,FIRST,BIO 2,W-3L,3,,6,1.0000,
2012-97886,2015,FIRST,HUM 2(AH),F-2R,3,,0,0.0000,
2014-84179,2015,FIRST,NSTP 1,AS3,0,,1,1.0000,
2014-84179,2015,FIRST,CHEM 15.0,G,3,,3,1.0000,
2014-84179,2015,FIRST,CHEM 15.1,23L,2,,4,1.0000,
2014-84179,2015,FIRST,ENSC 10a,6L,2,,5,1.0000,
2014-84179,2015,FIRST,MATH 36,H-2R,5,,6,1.0000,
2014-84179,2015,FIRST,STAT 1,H-1L,3,,7,1.0000,
2013-66309,2015,FIRST,NSTP 1,AS1,0,,1,1.0000,
2013-66309,2015,FIRST,CMSC 21,ST-5L,3,,2,1.0000,
2013-66309,2015,FIRST,CMSC 57,V-3L,3,,3,1.0000,
2013-66309,2015,FIRST,HUM 1(AH),X,3,,4,1.0000,
2013-66309,2015,FIRST,ENG 2(AH),F-2R,3,,5,1.0000,
2013-66309,2015,FIRST,MATH 28,T-4R,3,,6,1.0000,
2013-66309,2015,FIRST,SOSC 3(SSP),Y-3R,3,,7,1.0000,
2011-11565,2015,FIRST,PE 1,EF1,0,,1,1.0000,
2011-11565,2015,FIRST,NSTP 1,VM,0,,2,1.0000,
2011-11565,2015,FIRST,PHLO 1(SSP),W2-3R,3,,3,1.0000,
2011-11565,2015,FIRST,ENG 1(AH),G-4R,3,,4,1.0000,
2011-11565,2015,FIRST,HIST 1(SSP),V1-2R,3,,5,1.0000,
2011-11565,2015,FIRST,DEVC 11,CD-2L,3,,6,1.0000,
2011-11565,2015,FIRST,ENG 1(AH),G-4R,3,,7,1.0000,
2011-11565,2015,FIRST,ECON 11,C-3R,3,,8,1.0000,
2012-97888,2015,FIRST,MATH 14,B-3R,3,,2,1.0000,
2012-97888,2015,FIRST,ENG 2(AH),Y-5R,3,,3,1.0000,
2012-97888,2015,FIRST,CRSC 2,U-5L,3,,4,1.0000,
2012-97888,2015,FIRST,HUM 1(AH),E,3,,5,1.0000,
2012-97888,2015,FIRST,HUM 3(AH),F,3,,6,1.0000,
2012-97888,2015,FIRST,PHLO 1(SSP),W3-3R,3,,0,0.0000,
2011-71917,2015,FIRST,BOT 11,B-2L,3,,1,1.0000,
2011-71917,2015,FIRST,NASC 5(MST),Z-3R,3,,2,1.0000,
2011-71917,2015,FIRST,CHEM 15.0,G,3,,3,1.0000,
