stdno,allowedunits,currentunitsenlisted
2010-57258,15,13
2010-34119,15,15
2012-45007,15,15
2014-98829,15,15
2013-42233,15,15
2013-22874,15,13
2014-98832,15,13
2012-55117,15,15
2011-32414,15,15
2013-98427,15,0
2010-42856,15,15
2011-97450,15,15
2011-23975,15,12
2012-35005,15,14
2012-69923,15,3
2012-39392,15,14
2011-08757,15,15
2012-18669,15,15
2013-01349,15,13
2012-16944,15,15
2014-98835,15,14
2009-60988,15,15
2009-00725,15,12
2011-63047,15,15
2013-40497,15,14
2008-01488,15,5
2012-04619,15,15
2012-03169,15,13
2010-56833,15,15
2012-07445,15,14
2012-37404,15,15
2013-08246,15,9
2010-58550,15,9
2010-39222,15,13
2013-47758,15,13
2009-29173,15,9
2010-12392,15,12
2013-62584,15,15
2011-22635,15,10
2007-55709,15,3
2012-64316,15,15
2013-03278,15,15
2012-51984,15,14
2013-18735,15,15
2009-61120,15,0
2012-40243,15,15
2010-39087,15,13
2014-98842,15,13
2013-68171,15,15
2014-98843,15,14
2010-28453,15,4
2014-98844,15,14
2011-67879,15,15
2008-69108,15,12
2011-09223,15,15
2011-29463,15,13
2009-03902,15,3
2008-56180,15,6
2010-67027,15,9
2011-00177,15,15
2011-51742,15,7
2009-57027,15,13
2011-03724,15,15
2009-34602,15,13
2010-18453,15,12
2012-17378,15,14
2013-27640,15,15
2010-42120,15,15
2009-17589,15,10
2008-07276,15,3
2011-50174,15,15
2010-64792,15,15
2013-19492,15,12
2013-00602,15,14
2012-02381,15,9
2012-37382,15,15
2012-57141,15,15
2012-54950,15,15
2008-08949,15,9
2010-41403,15,15
2012-11766,15,15
2011-38287,15,15
2012-61785,15,15
2013-47413,15,14
2011-20540,15,10
2013-07718,15,15
2010-24949,15,14
2013-08151,15,14
2011-59842,15,15
2010-43453,15,15
2010-52460,15,14
2013-60635,15,0
2013-09230,15,13
2011-28179,15,0
2010-41429,15,15
2014-44101,15,14
2012-03542,15,14
2011-48901,15,15
2011-25221,15,15
2012-21581,15,14
2012-62901,15,15
2012-15453,15,13
2014-07856,15,11
2013-23760,15,13
2014-71680,15,15
2011-21476,15,15
2012-34540,15,14
2009-17577,15,14
2013-07992,15,15
2011-48827,15,15
2014-40842,15,15
2013-98665,15,15
2014-98859,15,14
2007-17839,15,8
2014-45787,15,15
2014-27819,15,13
2009-17977,15,15
2013-06920,15,13
2011-36143,15,9
2011-25725,15,14
2011-48849,15,15
2014-98862,15,14
2012-53867,15,15
2013-68215,15,14
2014-98863,15,15
2010-29074,15,15
2014-74704,15,13
2013-62576,15,13
2012-22548,15,11
2011-27271,15,12
2012-55706,15,12
2010-42112,15,12
2010-38947,15,6
2011-26933,15,14
2012-18630,15,13
2011-31405,15,15
2010-34038,15,15
2011-97690,15,15
2013-05183,15,12
2013-25317,15,12
2014-72451,15,14
2013-08044,15,15
2013-34839,15,13
2010-34533,15,15
2011-39743,15,15
2011-59046,15,15
2013-30104,15,14
2012-56500,15,13
2011-43612,15,15
2013-17853,15,12
2014-98866,15,14
2014-40703,15,15
2013-07516,15,0
2012-97925,15,15
2011-48664,15,15
2012-51167,15,14
2010-23357,15,14
2009-62447,15,0
2010-43530,15,15
2009-24874,15,11
2011-28901,15,12
2012-17693,15,15
2012-07023,15,14
2011-48829,15,14
2008-49226,15,3
2012-65338,15,15
2011-63008,15,4
2010-29040,15,15
2009-61334,15,14
2010-28990,15,15
2012-29192,15,15
2014-71206,15,14
2011-48694,15,14
2013-60673,15,15
2011-22842,15,14
2014-98870,15,13
2012-05045,15,15
