stdno,allowedunits,currentunitsenlisted
1270-24737,19,6
4874-45702,16,0
0398-85460,17,3
2193-34051,19,0
9535-11439,19,4
2881-83220,17,0
1122-59308,10,3
2224-80316,19,3
2760-32013,16,2
4903-57364,19,6
9233-75097,17,0
7016-37611,19,4
8757-53105,21,5
0136-36170,18,0
8912-00328,19,9
4336-51826,19,3
0631-59100,15,0
8552-74840,18,0
4230-94964,18,0
2943-74823,19,0
8684-34004,19,9
0158-45360,15,0
3262-77169,16,3
4289-40907,17,0
8551-66261,10,3
2584-82139,17,0
0951-05080,16,3
7259-66509,16,7
2663-34756,19,0
8235-71385,19,3
2651-42007,19,12
8721-52567,18,10
7230-77216,10,1
4153-02346,19,15
9454-10863,20,11
5678-30780,19,0
8514-85476,17,0
5816-34021,16,0
6293-59551,16,0
6596-96366,19,9
0846-12238,19,0
2475-62774,17,3
2210-10379,19,9
7167-38654,19,6
0091-81890,19,0
9793-56468,18,4
5137-54938,19,9
0276-71031,19,6
3174-67249,10,0
5696-82845,18,0
4256-63970,19,0
4381-12162,17,3
5849-57020,19,0
7470-21831,19,6
0833-40308,19,9
9670-27207,18,7
4271-86516,16,0
7001-08710,18,3
7500-48662,16,0
0912-69071,10,3
4208-30448,19,0
2010-76173,19,4
7829-73361,19,0
3315-54444,16,6
9268-18960,20,3
0290-29259,16,3
8988-96032,17,0
1657-59051,17,2
7286-93020,19,0
5205-13039,17,0
7904-51731,18,1
5254-14701,19,1
1601-00565,18,0
9808-74162,17,3
0027-24065,16,3
0263-11977,19,4
5176-24304,13,3
1563-73681,17,0
5824-94845,17,0
7010-24966,19,0
8796-52669,18,0
6073-24848,21,9
1303-35928,18,9
4506-17376,19,0
2549-76630,16,0
4886-34009,13,6
8665-32979,18,1
1163-76930,19,3
3621-68801,17,0
6511-50119,18,0
2928-81574,17,0
5029-60261,18,3
6317-36606,10,3
8011-25431,18,3
3650-15512,10,8
9969-94676,19,1
9397-08676,16,6
7048-90778,15,15
6166-43720,19,0
9490-66437,18,1
3308-26360,18,4
6143-63374,15,3
5162-57031,19,0
2826-24354,16,3
7623-94612,18,0
6234-38086,20,7
8100-12685,17,0
1046-74328,17,0
3904-42982,19,0
1772-06721,16,7
5077-03670,16,0
6727-35446,18,0
1311-80453,19,0
2347-89423,19,0
6559-75382,19,3
6346-86552,19,0
8199-44803,16,0
9985-80832,19,4
8083-60326,18,9
0105-84381,17,0
1155-74083,18,6
4068-88666,16,6
9258-04507,19,3
3475-38748,18,1
5048-78957,10,0
0293-25742,18,3
2582-61281,17,6
3802-65487,19,0
8866-50046,16,3
1373-03290,10,0
5907-19904,19,4
9726-64565,19,13
6257-90979,18,0
1796-98420,19,4
7479-82951,18,0
8721-73565,18,4
2272-11208,19,0
6663-85885,19,3
4934-83707,18,0
4589-75734,18,3
0379-76995,19,3
6646-20739,18,4
6631-62344,16,7
9768-12683,18,3
4041-92950,19,0
4469-23071,16,0
5328-62998,16,3
0560-99292,19,0
5021-99398,19,3
6500-44923,19,0
8704-90522,18,9
2843-54927,16,6
4103-95290,19,0
9585-89326,15,3
4503-99800,16,0
7472-16259,19,0
9038-83831,19,0
1650-69425,17,6
9272-44432,19,5
8512-23247,16,6
6365-94160,19,0
9576-06404,15,6
3758-38122,19,3
5970-03346,16,0
5930-41638,16,3
2217-33764,10,0
3089-30776,20,9
4916-85985,18,1
7234-77075,16,0
9518-18395,16,0
6873-82724,18,0
3625-86268,18,4
5008-77510,18,9
1703-60758,16,3
6554-08370,16,3
0180-64003,20,14
2476-75811,18,4
2326-73949,19,0
9966-35357,19,0
0868-51696,16,3
8964-06527,17,0
9921-95307,19,3
4264-61115,13,0
