stdno,schoolyear,term,course,section,units,grade,courserank,contrib
3311-40158,2015,FIRST,VPHM 141,F-1L,4,____,4,1.0000,
6428-78169,2015,FIRST,ENSC 16,W,3,____,5,1.0000,
6428-78169,2015,FIRST,ABE 51,C-1L,3,____,6,1.0000,
5230-43061,2015,FIRST,ANSC 101,C-2L,3,____,3,1.0000,
3140-07984,2015,FIRST,CE 134,T-2C,3,____,4,1.0000,
1798-40210,2015,FIRST,IE 134,ST-2L,3,____,1,1.0000,
1798-40210,2015,FIRST,ENSC 16,W,3,____,6,1.0000,
4096-47845,2015,FIRST,VMED 200-2,AR(2),2,____,1,1.0000,
0452-85594,2015,FIRST,CMSC 57,V-2L,3,____,2,1.0000,
0452-85594,2015,FIRST,CMSC 131,C-4L,3,____,7,1.0000,
8260-95108,2015,FIRST,EE 160,AB-1L,3,____,1,1.0000,
2449-22676,2015,FIRST,VMED 151,S,2,____,2,1.0000,
2449-22676,2015,FIRST,VETC 171,1L,2,____,4,1.0000,
2449-22676,2015,FIRST,VPTH 123,X-1L,3,____,5,1.0000,
8229-27957,2015,FIRST,POSC 10,D,3,____,3,1.0000,
8229-27957,2015,FIRST,NASC 2(MST),T,3,____,6,1.0000,
1611-00838,2015,FIRST,VMED 157,E,2,____,3,1.0000,
1611-00838,2015,FIRST,VETC 173,WX,1,____,4,1.0000,
1611-00838,2015,FIRST,VETC 175,1L,6,____,5,1.0000,
8684-35164,2015,FIRST,EE 120,A-1L,4,____,5,1.0000,
8684-35164,2015,FIRST,PHYS 83,BT-6L,5,____,7,1.0000,
8206-98741,2015,FIRST,VPHM 141,F-1L,4,____,2,1.0000,
3342-42953,2015,FIRST,EE 158,ST-2L,3,____,1,1.0000,
7982-94981,2015,FIRST,HUM 2(AH),W-3R,3,____,1,1.0000,
7982-94981,2015,FIRST,BIO 142,AR,3,____,3,1.0000,
7982-94981,2015,FIRST,BOT 110,B-1L,3,____,5,1.0000,
3355-38183,2015,FIRST,PPTH 199,Y,1,____,1,1.0000,
3355-38183,2015,FIRST,AGRI 121,T,3,____,4,1.0000,
3355-38183,2015,FIRST,ABE 1,U-1L,3,____,5,1.0000,
3355-38183,2015,FIRST,PPTH 115,B-1L,3,____,6,1.0000,
8031-18436,2015,FIRST,CE 135,CD-1C,3,____,1,1.0000,
8031-18436,2015,FIRST,CE 134,T-2C,3,____,3,1.0000,
8031-18436,2015,FIRST,ABE 174,V-1L,3,____,4,1.0000,
6974-92458,2015,FIRST,VETC 171,1L,2,____,3,1.0000,
7681-41409,2015,FIRST,VETC 171,1L,2,____,1,1.0000,
7681-41409,2015,FIRST,CHEM 160,S,3,____,3,1.0000,
3940-20213,2015,FIRST,EE 126,F-1L,3,____,1,1.0000,
3940-20213,2015,FIRST,EE 171,C,3,____,4,1.0000,
3647-43845,2015,FIRST,CHEM 120,B,3,____,4,1.0000,
2731-85480,2015,FIRST,EE 158,ST-1L,3,____,1,1.0000,
2731-85480,2015,FIRST,EE 181,YZ-2L,3,____,2,1.0000,
9495-29783,2015,FIRST,CE 171,V,3,____,2,1.0000,
5193-69869,2015,FIRST,CHEM 160,A,3,____,3,1.0000,
8824-47249,2015,FIRST,WLDL 101,Y-1L,3,____,0,0.0000,
8824-47249,2015,FIRST,FRM 100,S,3,____,0,0.0000,
8824-47249,2015,FIRST,EDUC 102,U,3,____,0,0.0000,
5928-82951,2015,FIRST,MATH 36,H-1R,5,____,6,1.0000,
2791-18313,2015,FIRST,CMSC 21,UV-1L,3,____,3,1.0000,
2791-18313,2015,FIRST,STAT 145,V-1R,3,____,5,1.0000,
9555-76059,2015,FIRST,CHEM 16.0,Y,3,____,3,1.0000,
9555-76059,2015,FIRST,HUM 2(AH),W-2R,3,____,5,1.0000,
9555-76059,2015,FIRST,MATH 151,C,3,____,7,1.0000,
9827-19863,2015,FIRST,ANSC 121,A-1L,3,____,2,1.0000,
9827-19863,2015,FIRST,HORT 20,AB-1L,3,____,3,1.0000,
9827-19863,2015,FIRST,HORT 30,C-1L,3,____,4,1.0000,
9827-19863,2015,FIRST,AGR 118,B-1L,3,____,0,0.0000,
9827-19863,2015,FIRST,SOIL 150,T,3,____,0,0.0000,
9377-96897,2015,FIRST,MATH 36,H-1R,5,____,1,1.0000,
2923-47012,2015,FIRST,DEVC 122,G,3,____,2,1.0000,
2923-47012,2015,FIRST,DEVC 199,A1,1,____,3,1.0000,
4842-28493,2015,FIRST,STAT 166,EF-1L,3,____,2,1.0000,
4842-28493,2015,FIRST,SOC 140,X,3,____,3,1.0000,
7803-28715,2015,FIRST,BIO 151,B,3,____,4,1.0000,
7803-28715,2015,FIRST,MCB 150,C-3L,3,____,5,1.0000,
7803-28715,2015,FIRST,CERP 122,T,3,____,7,1.0000,
7803-28715,2015,FIRST,ZOO 150,X-1L,3,____,0,0.0000,
2799-81203,2015,FIRST,VPHM 141,F-2L,4,____,4,1.0000,
9758-75416,2015,FIRST,HNF 42,A-1L,4,____,1,1.0000,
9758-75416,2015,FIRST,HNF 132,UV-3L,3,____,2,1.0000,
4387-96023,2015,FIRST,DEVC 122,G,3,____,4,1.0000,
4387-96023,2015,FIRST,DEVC 141,B-1L,3,____,5,1.0000,
4387-96023,2015,FIRST,NASC 4(MST),V,3,____,6,1.0000,
4167-43374,2015,FIRST,HNF 123,A-2L,3,____,1,1.0000,
4167-43374,2015,FIRST,CHEM 40.0,U,3,____,2,1.0000,
8300-36855,2015,FIRST,VPHM 141,F-2L,4,____,6,1.0000,
3232-78997,2015,FIRST,PE 2-BW,BW-CD,0,____,1,1.0000,
8608-91261,2015,FIRST,ANSC 121,A-1L,3,____,1,1.0000,
8608-91261,2015,FIRST,ANSC 105,ST-1L,3,____,0,0.0000,
8608-91261,2015,FIRST,ANSC 161,Y,3,____,0,0.0000,
1716-51859,2015,FIRST,FST 111,AB,3,____,2,1.0000,
1888-78786,2015,FIRST,FRM 184,T-1L,3,____,3,1.0000,
4689-54043,2015,FIRST,SFFG 101,T,3,____,4,1.0000,
4689-54043,2015,FIRST,FRM 117,C,3,____,7,1.0000,
4689-54043,2015,FIRST,HUM 2(AH),W-2R,3,____,0,0.0000,
2397-62190,2015,FIRST,HUME 2,V,3,____,3,1.0000,
2397-62190,2015,FIRST,SOC 140,X,3,____,5,1.0000,
0642-61893,2015,FIRST,MATH 28,T-1R,3,____,4,1.0000,
5148-16694,2015,FIRST,EE 126,F-1L,3,____,1,1.0000,
5148-16694,2015,FIRST,EE 180,D,3,____,4,1.0000,
3978-77146,2015,FIRST,ZOTC 112,S,3,____,4,1.0000,
3290-80446,2015,FIRST,PE 2-TC,TC-S,0,____,1,1.0000,
1248-28173,2015,FIRST,ABE 180,G,3,____,1,1.0000,
1248-28173,2015,FIRST,PHYS 82,DV-2L,5,____,5,1.0000,
6290-78414,2015,FIRST,CHEM 15.0,T,3,____,3,1.0000,
6290-78414,2015,FIRST,CHEM 15.1,30L,2,____,4,1.0000,
6290-78414,2015,FIRST,CMSC 21,UV-1L,3,____,5,1.0000,
6290-78414,2015,FIRST,CMSC 22,WX-6L,3,____,8,1.0000,
