2014-40584,18
2011-48770,18
2013-22567,18
2013-15433,18
2012-10596,19
2013-25678,18
2014-72710,18
2013-60783,18
2014-02777,21
2014-09798,20
2012-59795,18
2014-99163,18
2014-27146,18
2012-10766,19
2014-98831,16
2014-02874,18
2013-21636,20
2014-50840,18
2013-68489,19
2010-34119,15
2014-72641,18
2014-71975,18
2013-05607,21
2012-29033,18
2014-73299,20
2013-60256,18
2014-28936,19
2012-19324,18
2012-45007,15
2014-73909,18
2012-60883,18
2013-34338,20
2014-08792,18
2013-98197,18
2013-65271,18
2011-57570,18
2013-31240,18
2011-12388,20
2012-65512,20
2014-98829,15
2014-09230,18
2013-70843,21
2012-64062,18
2012-76359,19
2012-27768,18
2014-19362,18
2012-67728,18
2014-33125,17
2013-29181,18
2013-43528,18
2014-56915,18
2013-48668,20
2014-09072,19
2012-17911,18
2013-22363,18
2013-42233,15
2013-06310,21
2013-30624,18
2010-48989,18
2013-07713,18
2014-44249,19
2013-08210,18
2013-36478,18
2014-70641,20
2013-68050,21
2013-56274,18
2012-97792,18
2012-13026,18
2014-22349,17
2012-38374,19
2013-15660,21
2014-71810,20
2014-10100,20
2012-98191,18
2014-30760,18
2014-05805,17
2014-57061,20
2013-55770,21
2014-71922,21
2012-16985,21
2013-52824,21
2014-43245,18
2009-03079,12
2014-12811,18
2014-02868,19
2007-52763,20
2014-16788,19
2013-09814,12
2013-08760,21
2012-97886,18
2014-71939,20
2014-57013,18
2013-68204,18
2014-05733,21
2013-06434,21
2013-66309,18
2013-43276,21
2014-50972,18
2011-11565,18
2014-72372,19
2014-35528,18
2012-19796,19
2014-62852,18
2012-97888,18
2011-71917,19
2012-27631,18
2014-04009,19
2010-12648,12
2012-48163,19
2014-09474,19
2013-02438,20
2014-61091,20
2014-71705,20
2011-49153,19
2014-33243,18
2014-53902,17
2013-43088,18
2014-53064,21
2014-47613,19
2014-61797,20
2013-16914,18
2012-18566,18
2013-06118,21
2013-30969,18
2014-57047,19
2014-09235,18
2014-07974,19
2012-38375,19
2012-55117,15
2014-68061,18
2013-36222,17
2014-15347,19
2013-04736,20
2012-56486,21
2014-09407,20
2014-48572,18
2013-38474,19
2011-32414,15
2013-98282,17
2013-26706,21
2011-62614,18
2014-20211,18
2013-08490,20
2014-64969,18
2013-98199,18
2013-29183,18
2011-51815,18
2010-57072,12
2011-47801,18
2013-74094,18
2014-09260,18
2014-99164,17
2013-47746,18
2013-98419,18
2010-42856,15
2013-30627,18
2014-08787,18
2012-03161,20
2014-09408,18
2013-45133,18
2014-48574,21
2013-29146,18
2014-72373,18
2012-51775,17
2013-04662,18
2014-45783,18
2012-97794,21
2014-09426,20
2013-30629,18
2014-03465,18
2014-23540,18
2013-55200,21
2012-34919,21
2014-01272,19
2014-09531,22
2012-38466,20
2014-07252,17
2011-97450,15
2014-98834,16
2014-08198,18
2014-58159,17
2012-03553,18
2013-19723,23
2014-05808,20
2014-78398,19
2012-69426,20
2012-29880,12
2014-16723,19
2014-01749,17
2013-02940,21
2012-02945,21
2013-47328,21
2013-15493,18
2014-72737,18
2014-71896,18
2013-60309,18
2014-02553,20
2013-08708,20
2011-48821,18
2013-46294,23
2013-09975,23
2014-77051,22
2013-05380,21
2010-42678,12
2014-09517,20
2014-26736,21
2014-35880,19
2011-08757,15
2013-30972,20
2013-69847,21
2013-06976,18
2012-57133,19
2012-18863,18
2014-63997,18
2012-18669,15
2012-59435,18
2013-08257,18
2014-71208,19
2014-13101,19
2014-72335,19
2013-50225,18
2013-41373,21
2010-42173,18
2014-09270,19
2014-08746,19
2013-68047,18
2014-05736,19
2013-08844,18
2012-11565,19
2012-02895,19
2014-72679,19
2014-55133,19
2014-27500,20
2012-19356,21
2011-48320,18
2012-35496,18
2014-10677,17
2014-45872,20
2012-16944,15
2013-68205,18
2014-72505,20
2012-06177,19
2013-69291,18
2014-26031,17
2014-72417,18
2014-23542,18
2013-98285,18
2012-19856,18
2014-08738,17
2013-14044,20
2013-46227,21
2014-00492,18
2014-23543,20
2014-98836,16
2014-25036,19
2014-28353,19
2013-62225,23
2013-46559,18
2013-22840,18
2014-19906,19
2013-26011,19
2009-60988,15
2011-47296,20
2013-59928,18
2013-60054,18
2014-08918,19
2014-71270,19
2012-40219,12
2014-61800,19
2014-12617,19
2013-18353,18
2014-33620,18
2014-12632,18
2013-15745,21
2014-50978,19
2014-98837,16
2013-45219,21
2012-37611,18
2014-33812,18
2012-97797,21
2014-21081,18
2011-63047,15
2014-50979,20
2013-68052,17
2013-43770,18
2014-52762,19
2011-01130,18
2013-11799,18
2014-10082,18
2013-60780,18
2014-15900,18
2013-05382,21
2013-08231,18
2014-36532,21
2014-15707,20
2012-29808,12
2012-97893,18
2006-13348,18
2014-19859,18
2014-26662,20
2014-01440,20
2013-50952,18
2012-04619,15
2014-34572,20
2013-35522,20
2012-97894,18
2014-33817,18
2012-69922,20
2014-23155,17
2014-26033,20
2013-12668,17
2013-57699,21
2014-62844,19
2008-69730,17
2014-55134,20
2013-22509,18
2013-11632,20
2014-11799,19
2014-21135,21
2014-70590,17
2013-35902,18
